N,P,K,temperature,humidity,ph,rainfall,label
105.0,52.2,37.1,12.46,51.27,5.98,69.81,wheat
41.2,122.3,161.9,25.2,84.09,6.11,98.1,grapes
46.7,56.6,20.5,21.54,26.9,5.62,99.04,kidneybeans
28.3,54.1,39.1,22.73,62.64,6.22,71.14,groundnut
21.2,44.8,27.4,24.46,70.99,6.96,26.02,lentil
61.6,57.2,75.8,21.66,15.27,6.8,81.84,chickpea
19.8,70.7,18.1,36.3,57.84,7.17,35.45,mothbeans
45.0,78.1,35.3,20.99,52.68,6.31,72.27,sunflower
98.6,44.0,38.2,20.56,44.74,6.76,73.47,wheat
23.8,140.6,198.1,19.68,89.76,6.02,134.75,apple
162.4,35.6,20.6,28.84,82.59,6.96,110.85,cotton
21.3,5.5,28.8,25.99,75.58,6.32,72.59,fingermillet
120.6,62.7,20.9,22.1,77.57,6.48,133.59,cotton
20.4,20.0,39.9,19.4,90.7,6.19,140.3,pomegranate
49.1,31.8,41.0,13.07,56.58,7.09,68.42,mustard
22.4,37.7,15.2,31.96,59.63,6.79,44.34,mothbeans
29.6,65.2,81.7,18.9,18.8,7.07,88.6,chickpea
16.6,139.1,240.4,25.78,80.02,6.31,71.64,grapes
52.8,56.5,50.4,31.7,91.94,7.04,155.27,papaya
26.1,43.0,19.3,30.03,87.9,6.37,16.85,mungbean
18.6,53.6,19.7,27.04,66.52,7.57,43.0,lentil
111.3,16.8,67.7,31.7,93.48,6.45,27.87,muskmelon
13.3,17.6,36.5,20.82,92.25,7.64,131.68,pomegranate
56.9,63.5,72.4,14.9,71.52,5.92,71.42,potato
17.5,119.1,214.7,24.24,83.66,6.11,21.48,grapes
27.2,60.3,84.9,18.37,15.34,8.08,68.46,chickpea
49.2,32.0,25.6,15.78,36.63,7.44,48.95,barley
135.7,59.7,23.2,24.37,72.72,6.61,110.53,maize
93.7,58.6,70.7,27.06,83.62,6.63,83.4,tomato
13.8,89.8,22.5,26.81,85.84,6.48,83.22,soybean
23.1,73.2,21.5,24.27,16.76,6.46,107.88,kidneybeans
0.8,26.4,19.7,26.56,84.3,6.53,37.37,mungbean
20.8,15.4,52.9,23.69,94.56,6.89,161.64,pomegranate
77.2,75.4,82.5,14.72,69.03,6.31,37.21,potato
28.8,57.6,75.8,18.98,13.22,7.1,82.62,chickpea
75.5,30.4,44.4,35.66,89.64,7.5,172.26,papaya
47.9,64.4,23.7,30.49,62.67,7.23,96.1,blackgram
97.9,59.3,39.6,24.31,79.09,7.29,232.41,rice
34.9,65.0,54.6,31.99,92.22,7.01,137.85,papaya
16.5,33.1,14.4,32.5,66.15,7.41,35.34,mothbeans
95.3,19.7,52.5,22.7,89.76,6.87,43.07,watermelon
41.1,47.6,47.9,33.74,89.45,6.61,87.2,papaya
11.7,92.1,20.5,25.94,71.69,6.05,81.4,soybean
11.2,11.2,21.3,21.7,91.23,6.82,62.8,pomegranate
101.3,12.1,42.0,31.52,91.99,6.34,24.19,muskmelon
141.4,41.9,57.5,29.0,85.03,7.13,174.14,sugarcane
81.0,47.7,23.5,20.38,86.56,7.47,218.41,rice
68.0,32.4,28.1,31.49,42.21,7.3,63.61,sorghum
19.1,44.1,15.9,27.73,75.28,7.18,120.13,soybean
18.7,67.4,20.7,25.6,54.27,5.81,158.73,pigeonpeas
11.6,55.1,17.6,34.28,61.36,7.19,47.24,mothbeans
38.2,73.8,28.4,24.42,56.2,6.88,48.6,lentil
28.4,47.7,21.6,29.37,63.9,7.25,67.13,mothbeans
24.8,51.7,22.9,25.69,79.8,6.84,45.23,mungbean
69.8,69.4,33.6,19.87,72.91,6.46,54.0,sunflower
103.9,54.1,52.1,20.64,50.01,5.99,51.34,onion
77.9,77.9,66.0,24.6,64.2,6.03,91.65,tomato
27.8,37.3,36.5,23.62,66.7,6.76,79.81,fingermillet
51.0,29.7,27.5,27.6,73.29,6.54,77.56,fingermillet
112.1,19.2,37.6,26.72,94.07,6.38,21.29,muskmelon
25.0,125.4,229.0,14.1,93.25,6.03,154.81,apple
91.4,53.2,13.0,22.83,76.73,6.62,13.46,maize
21.2,13.4,11.1,24.33,90.62,6.59,82.98,orange
52.2,38.7,26.0,23.63,56.68,6.09,44.53,maize
22.6,50.2,28.5,32.45,61.12,7.1,26.81,mothbeans
18.8,22.8,29.3,21.88,89.81,7.11,143.99,pomegranate
76.5,40.1,37.3,29.16,82.74,5.46,250.94,rice
23.9,31.0,38.4,29.96,51.18,5.98,61.48,mango
113.2,69.9,61.0,27.85,74.25,5.38,73.13,banana
22.0,119.4,208.2,30.76,84.88,5.57,102.22,grapes
57.7,44.5,22.1,11.76,59.42,7.16,40.38,barley
54.1,26.5,32.4,15.57,48.46,6.7,56.06,wheat
26.5,21.6,40.7,23.39,92.8,6.57,110.8,pomegranate
56.4,48.5,28.5,32.76,92.31,7.25,159.99,papaya
21.5,43.4,32.0,29.89,55.48,5.52,52.9,mango
10.9,47.0,61.5,31.91,90.51,7.2,72.01,papaya
70.5,34.3,40.8,26.69,51.17,6.74,60.58,sorghum
9.9,78.6,19.0,26.82,61.65,6.95,38.96,lentil
12.5,88.4,17.1,23.2,18.39,5.47,155.02,kidneybeans
28.7,109.8,176.6,27.7,80.68,5.49,82.63,grapes
48.9,59.0,38.7,23.76,81.7,7.37,202.36,jute
65.0,62.1,61.8,33.43,94.44,6.47,118.89,papaya
15.7,101.2,29.0,25.98,66.93,7.05,113.49,soybean
37.4,66.9,31.0,25.76,49.24,5.91,53.78,groundnut
31.1,47.3,25.4,24.28,71.19,6.53,55.95,groundnut
17.6,56.8,11.2,24.09,26.37,5.26,45.46,kidneybeans
113.9,50.2,35.1,20.87,86.5,5.24,330.17,rice
45.9,45.2,46.7,23.78,62.04,6.72,49.11,onion
117.2,53.2,17.8,23.49,75.29,6.98,94.05,cotton
51.3,32.0,61.5,31.5,89.84,6.29,171.78,papaya
77.6,38.3,29.7,24.53,80.54,4.91,49.49,maize
75.6,72.4,41.9,9.94,50.12,6.21,13.8,mustard
0.0,47.4,17.0,31.84,49.22,6.86,22.21,mothbeans
104.5,24.8,45.8,23.62,88.59,6.6,31.77,watermelon
31.4,57.3,20.6,29.37,49.05,7.7,25.31,mothbeans
102.0,34.3,35.1,26.53,72.7,6.95,161.85,sugarcane
71.8,23.6,27.8,10.92,57.82,5.67,38.91,garlic
123.3,109.9,61.2,25.62,85.2,6.21,103.97,banana
86.2,76.1,61.5,26.64,83.91,6.62,62.08,tomato
96.6,43.5,40.4,22.51,84.86,7.28,287.26,rice
114.6,45.1,33.2,10.67,56.16,6.92,25.21,mustard
12.3,105.7,185.7,19.48,95.94,4.82,104.12,apple
16.5,80.8,16.8,22.77,72.49,6.46,99.1,soybean
45.4,36.4,53.1,25.9,76.51,5.62,64.18,ginger
17.5,155.8,248.6,23.4,89.98,6.14,104.22,apple
21.8,12.2,34.4,23.99,62.25,6.75,77.51,fingermillet
85.8,48.5,42.4,13.83,51.72,6.76,28.66,mustard
0.7,47.9,20.3,33.28,57.11,6.45,47.57,mothbeans
44.8,43.2,38.3,15.54,73.85,5.74,66.52,garlic
107.5,65.5,56.7,24.69,51.56,7.15,66.93,onion
21.8,64.6,30.3,26.05,58.17,5.58,135.71,pigeonpeas
25.0,66.1,17.4,27.89,49.25,6.12,200.77,pigeonpeas
93.0,38.2,32.4,12.48,45.83,7.71,25.46,barley
24.9,62.1,28.1,23.47,63.14,6.68,154.8,soybean
33.5,28.2,46.2,26.38,79.29,6.57,91.1,fingermillet
23.1,37.4,21.4,26.19,81.17,6.13,66.09,mungbean
20.8,61.3,23.6,25.85,53.47,6.35,80.05,pigeonpeas
35.1,74.5,29.4,23.33,67.14,6.18,68.64,lentil
103.9,41.7,32.6,25.33,76.77,6.44,204.37,rice
84.1,39.7,55.3,25.06,89.03,5.72,123.65,ginger
89.4,64.2,97.5,11.82,79.45,6.52,37.47,potato
85.9,70.6,75.9,12.8,78.43,5.56,103.18,potato
17.4,36.6,18.3,28.92,89.47,7.28,41.5,mungbean
1.2,17.3,36.7,28.61,96.62,5.5,156.08,coconut
75.5,38.7,44.6,15.84,66.25,5.71,118.38,potato
28.8,23.5,34.9,23.4,95.48,6.28,169.02,coconut
69.0,41.8,48.7,32.01,89.15,6.81,135.07,papaya
48.6,63.4,20.6,29.72,68.46,5.73,63.38,groundnut
29.5,79.4,16.2,20.75,21.22,6.14,30.99,kidneybeans
15.9,35.8,26.4,28.42,84.75,6.63,73.29,mungbean
31.2,21.1,20.7,23.51,67.47,6.36,110.75,soybean
132.4,62.7,25.4,24.53,84.81,6.63,122.22,cotton
34.9,47.8,70.2,15.66,13.85,7.8,39.46,chickpea
14.5,15.6,54.0,18.83,90.58,6.72,132.54,pomegranate
76.7,96.2,39.7,26.54,56.98,6.88,89.26,sunflower
74.2,62.9,89.6,12.73,68.17,5.38,61.76,potato
69.3,37.1,41.2,12.84,64.22,6.48,58.13,garlic
66.2,33.9,36.0,13.95,47.97,7.59,31.45,barley
38.3,56.3,21.0,26.34,61.58,7.52,78.98,blackgram
35.9,44.3,49.6,22.86,79.96,6.06,73.11,tomato
103.1,41.2,53.6,17.29,62.38,6.07,52.69,wheat
13.9,38.4,32.6,33.44,46.07,5.23,94.69,mango
56.1,56.6,37.9,22.15,83.02,6.49,137.24,rice
52.1,70.4,34.0,26.28,77.67,6.41,207.48,jute
85.7,73.5,81.5,21.38,88.16,6.33,75.03,tomato
141.9,47.1,36.9,29.76,74.65,6.9,81.36,cotton
49.7,40.7,30.2,22.56,75.73,6.58,149.0,jute
21.7,135.5,191.0,24.01,79.13,5.91,72.86,grapes
76.9,42.8,31.8,29.1,39.24,6.35,66.88,sorghum
71.2,56.2,42.3,22.44,55.12,6.88,23.78,onion
64.8,38.6,44.6,12.67,57.8,7.4,54.08,barley
37.7,77.3,48.5,35.72,92.91,7.72,164.62,papaya
19.9,170.1,168.6,24.54,90.3,5.45,79.35,apple
40.3,66.1,11.6,24.58,49.83,5.73,92.19,pigeonpeas
105.8,30.0,37.9,21.48,64.37,6.46,93.66,wheat
11.0,161.8,224.7,26.2,75.28,6.27,108.35,grapes
130.9,48.5,24.7,23.43,82.82,6.02,241.98,sugarcane
44.1,20.8,6.9,25.16,57.21,6.24,91.26,fingermillet
41.7,27.8,43.2,31.39,51.7,7.0,35.69,sorghum
94.2,49.8,60.8,30.15,72.9,6.8,42.25,tomato
143.3,50.2,36.6,24.64,77.28,7.32,325.57,rice
18.5,77.3,23.4,17.05,62.62,6.92,56.65,lentil
31.7,63.1,23.6,25.49,50.94,6.2,125.78,pigeonpeas
25.0,73.9,60.9,31.79,92.0,6.76,198.33,papaya
29.2,53.3,32.7,27.23,58.65,5.86,45.21,groundnut
46.9,56.5,15.3,29.78,53.16,7.17,95.38,blackgram
66.2,29.3,26.9,22.0,64.95,6.2,120.55,fingermillet
76.2,28.2,22.3,14.4,33.25,7.86,47.07,barley
33.0,15.1,30.8,20.69,69.61,6.51,68.29,fingermillet
18.9,44.0,14.5,18.89,21.61,5.73,89.58,kidneybeans
139.2,37.1,52.0,23.76,59.85,6.76,61.86,wheat
120.6,72.9,49.7,23.73,79.42,6.47,72.47,tomato
48.0,33.8,27.7,25.46,77.65,6.82,78.79,fingermillet
77.2,53.3,44.7,22.87,79.41,6.22,207.74,jute
54.3,28.2,21.8,25.9,61.82,6.71,110.22,maize
99.9,41.1,33.2,23.19,50.77,6.63,68.21,wheat
97.2,76.8,46.6,26.32,84.29,6.16,103.3,banana
57.1,39.6,23.2,27.2,57.12,6.67,40.35,wheat
52.8,37.8,27.8,20.83,82.63,5.69,93.38,fingermillet
109.9,12.0,39.6,23.34,85.34,6.27,49.03,watermelon
155.2,53.0,35.2,22.53,79.61,6.81,81.71,sugarcane
115.1,19.4,42.9,22.35,75.03,6.68,156.61,jute
10.9,60.8,26.5,26.61,79.93,7.49,73.97,mungbean
13.1,12.6,31.5,24.01,92.7,6.61,139.56,pomegranate
77.9,80.2,71.0,21.9,72.49,6.91,83.26,tomato
24.3,15.7,36.2,25.57,96.72,6.2,149.65,coconut
7.0,21.1,22.2,24.35,96.46,6.11,72.03,pomegranate
17.7,22.9,41.7,24.47,93.1,6.35,115.26,coconut
97.0,44.0,45.2,22.42,81.3,6.66,228.91,rice
19.6,103.1,24.6,25.96,60.63,5.7,15.51,lentil
101.7,55.4,46.2,26.3,82.17,6.32,198.42,rice
77.2,38.4,28.2,12.55,45.68,6.95,23.33,mustard
112.2,23.9,54.8,33.4,92.25,7.12,13.41,muskmelon
11.5,69.8,18.8,29.89,72.04,7.54,99.4,soybean
55.1,46.0,28.7,19.28,52.97,6.81,68.33,sunflower
54.3,48.7,44.9,25.13,71.58,6.26,54.25,sunflower
53.9,64.4,49.8,27.89,88.95,5.78,164.13,ginger
64.1,85.5,39.4,19.53,57.88,6.93,81.32,sunflower
25.9,46.0,19.3,20.57,24.97,6.22,118.03,kidneybeans
101.6,20.7,43.3,32.0,95.17,6.05,10.0,muskmelon
58.6,42.9,69.2,15.51,74.2,5.48,88.5,potato
93.1,10.6,44.9,34.08,87.78,5.82,18.94,muskmelon
71.6,17.8,48.4,30.19,43.85,6.25,39.56,sorghum
37.5,65.5,56.1,26.49,79.54,5.67,162.69,ginger
48.7,76.6,83.4,19.88,11.73,8.07,103.13,chickpea
14.6,56.4,20.5,26.02,67.65,6.91,35.07,lentil
117.1,18.6,70.7,25.24,83.25,6.52,28.03,watermelon
21.3,74.3,22.4,21.54,27.37,6.33,128.07,kidneybeans
30.5,142.8,236.6,19.85,92.76,6.31,71.29,apple
24.9,55.2,20.7,33.36,66.48,6.89,36.11,mothbeans
40.4,63.1,82.6,22.6,12.57,7.61,85.99,chickpea
107.5,19.2,47.1,25.78,87.25,5.46,44.27,watermelon
50.7,25.8,49.4,22.04,89.51,7.13,107.14,jute
47.1,57.7,42.0,25.61,80.2,7.45,117.13,jute
21.3,88.3,15.3,23.59,73.61,5.9,55.66,lentil
115.1,48.5,32.4,28.3,77.46,5.57,73.02,sugarcane
24.4,63.8,18.1,25.28,75.05,6.42,105.75,soybean
43.3,73.4,25.1,29.22,58.61,7.24,109.9,blackgram
33.3,77.4,85.8,19.94,18.64,7.7,143.21,chickpea
14.7,17.5,47.5,22.68,90.19,6.28,106.31,pomegranate
82.2,51.1,33.2,19.93,62.86,7.12,55.5,sunflower
37.8,71.2,22.4,21.18,24.22,5.63,93.24,kidneybeans
131.6,42.1,39.9,25.76,84.92,6.38,151.01,sugarcane
96.4,18.5,40.5,25.31,85.37,6.36,65.22,watermelon
94.4,22.9,50.0,32.07,90.33,6.8,22.92,muskmelon
18.3,35.6,22.5,32.68,82.91,7.04,63.65,mungbean
55.0,70.3,57.4,32.37,92.03,6.5,142.78,papaya
45.5,84.3,33.0,24.15,51.82,6.35,68.49,sunflower
81.2,72.4,42.8,25.25,76.52,6.52,224.55,jute
60.4,31.5,25.1,10.23,42.44,7.74,49.13,barley
113.6,17.3,52.4,32.78,94.51,6.81,30.0,muskmelon
18.5,73.7,15.7,31.57,65.41,6.55,33.89,blackgram
92.5,74.0,79.0,13.75,63.48,5.58,100.46,potato
16.4,70.3,13.5,26.42,58.1,4.74,90.29,groundnut
104.9,49.5,48.3,25.7,76.79,6.33,202.04,jute
32.9,16.8,34.8,22.19,67.77,6.01,39.38,garlic
92.8,58.1,57.4,27.06,80.85,5.35,160.99,ginger
0.0,10.9,24.1,22.47,100.0,6.47,137.56,coconut
19.7,47.3,13.7,32.01,50.8,7.03,53.83,mothbeans
63.5,81.1,97.9,17.99,81.83,5.26,96.29,potato
47.8,52.5,16.9,29.23,59.98,6.96,65.79,blackgram
85.0,53.2,26.0,23.79,57.26,7.14,35.08,onion
19.6,42.0,22.5,25.82,61.86,5.66,58.95,groundnut
58.0,38.1,53.0,21.96,60.48,5.63,54.93,tomato
83.8,64.9,39.0,9.35,42.85,5.64,24.21,mustard
34.1,62.7,21.0,26.08,52.92,5.84,168.81,pigeonpeas
54.7,40.5,75.1,16.31,20.76,6.99,121.4,chickpea
85.6,47.0,26.0,24.98,70.72,6.49,112.06,maize
31.8,62.6,23.9,32.53,45.41,7.17,45.1,mothbeans
33.4,44.6,37.4,15.87,52.5,5.97,17.93,garlic
20.0,50.3,15.7,18.43,13.67,5.08,113.88,kidneybeans
55.3,81.1,87.4,26.47,84.33,6.44,52.49,tomato
75.5,62.1,9.4,24.27,67.57,5.13,91.99,maize
71.1,23.7,43.9,6.65,39.65,7.42,10.0,barley
14.6,50.8,26.4,28.22,82.62,7.05,63.18,mungbean
21.2,154.8,214.0,21.39,91.17,4.92,160.27,apple
78.6,44.8,27.3,28.69,84.98,6.28,286.15,rice
26.3,52.2,26.0,30.48,78.46,6.84,90.1,blackgram
91.2,51.5,22.9,21.29,80.71,7.35,86.7,cotton
126.5,50.9,33.9,16.22,49.44,6.31,71.35,wheat
73.6,18.1,49.0,17.09,50.88,5.57,63.82,garlic
72.6,17.5,43.0,27.24,83.15,6.55,33.0,watermelon
60.3,41.8,44.6,20.05,57.59,6.57,48.47,garlic
56.4,46.9,89.8,9.57,68.25,5.14,84.88,potato
35.0,56.9,56.0,16.33,10.6,7.96,81.33,chickpea
76.5,83.6,27.9,20.47,48.34,6.07,50.28,sunflower
90.0,13.8,35.4,31.34,92.29,7.49,12.69,muskmelon
53.9,46.8,69.7,24.12,73.98,5.75,198.69,ginger
33.2,39.5,8.2,24.28,91.93,7.0,11.99,mungbean
19.5,49.0,33.4,21.62,61.5,6.2,28.33,lentil
67.9,36.6,75.1,16.54,67.44,6.33,77.79,potato
113.8,19.6,51.7,23.58,88.34,6.21,35.2,watermelon
27.7,45.8,88.3,13.7,87.18,5.74,86.32,potato
0.0,20.2,14.0,25.84,95.69,6.0,131.04,coconut
28.7,58.7,24.7,28.92,88.37,7.03,57.95,mungbean
93.9,57.0,49.3,14.25,47.94,6.01,53.85,wheat
59.9,24.2,12.5,27.46,60.07,5.79,79.43,fingermillet
94.0,46.5,57.6,19.31,58.51,7.65,38.05,onion
89.5,62.2,53.2,25.93,81.17,6.88,263.59,rice
189.6,35.5,19.7,29.61,66.43,6.99,87.08,cotton
74.7,73.5,39.1,18.83,57.11,5.77,65.24,sunflower
31.2,60.9,30.8,25.15,70.65,6.15,60.3,soybean
29.1,80.3,24.1,17.86,61.37,5.7,114.28,soybean
74.3,60.5,34.6,14.27,61.73,6.3,76.13,wheat
28.4,61.1,67.2,20.29,19.05,7.16,56.19,chickpea
100.1,48.3,49.8,27.57,81.89,5.94,197.15,sugarcane
35.1,60.4,23.0,27.2,71.1,7.09,62.95,blackgram
29.8,51.4,87.8,14.8,15.18,7.31,73.11,chickpea
67.2,43.3,18.8,21.4,73.37,6.65,87.08,maize
58.6,53.3,75.1,13.67,68.08,5.55,62.27,potato
17.5,26.6,20.6,21.56,94.43,6.34,116.75,pomegranate
31.9,66.2,19.1,28.23,66.13,6.69,52.36,lentil
36.2,67.6,74.7,13.76,14.47,6.89,59.23,chickpea
30.8,132.7,224.1,30.41,83.07,6.76,30.54,grapes
117.1,34.3,18.6,20.17,82.52,6.21,75.81,maize
27.7,16.7,39.9,27.5,91.35,6.78,170.3,coconut
43.3,43.3,55.9,18.02,60.52,5.94,10.0,garlic
99.7,56.6,41.7,24.01,82.11,6.14,204.11,rice
52.2,33.5,26.9,27.29,71.6,5.89,113.04,fingermillet
16.4,125.7,230.6,23.33,83.58,6.48,74.79,grapes
67.6,40.3,36.1,25.06,83.34,7.06,160.57,jute
75.9,29.4,34.6,24.4,83.44,7.17,196.73,jute
43.1,22.2,15.3,25.81,59.46,6.19,118.5,fingermillet
32.0,66.8,85.9,20.67,12.37,7.49,122.74,chickpea
103.0,46.2,19.7,20.18,78.76,5.72,52.61,maize
32.5,20.0,4.3,24.58,88.92,7.37,81.15,orange
45.7,59.2,42.3,31.48,92.28,6.97,170.38,papaya
33.3,76.4,25.6,30.44,60.05,6.24,79.45,blackgram
23.6,59.2,21.1,26.29,88.34,6.31,49.04,mungbean
42.8,60.3,83.3,20.49,11.93,7.13,150.78,chickpea
43.0,45.3,30.3,12.5,59.2,6.63,20.51,garlic
101.4,16.3,62.2,30.71,92.32,6.8,15.1,muskmelon
81.4,67.0,62.5,23.41,73.87,7.52,20.69,onion
112.3,58.4,40.1,27.46,88.97,5.94,128.91,banana
75.2,43.7,20.6,22.71,57.29,7.18,113.14,maize
27.9,68.3,22.7,25.7,64.11,5.87,59.3,groundnut
36.3,30.0,27.5,29.44,69.77,6.19,94.1,fingermillet
41.2,61.0,32.1,30.29,59.65,7.57,67.81,blackgram
88.7,69.3,100.4,11.39,68.87,6.01,79.55,potato
39.4,90.7,14.3,27.95,63.25,7.08,77.23,blackgram
26.1,46.9,32.9,26.12,65.15,5.96,73.54,groundnut
23.6,54.2,20.3,31.09,60.73,6.42,42.83,mothbeans
61.3,44.9,40.1,28.51,81.31,4.97,131.23,ginger
33.4,40.5,42.3,16.01,58.95,6.24,36.63,garlic
102.2,19.1,55.8,25.01,93.67,6.06,24.91,muskmelon
26.5,22.6,30.9,22.21,93.3,6.49,141.54,pomegranate
20.9,59.3,17.6,27.4,60.75,7.15,38.36,lentil
30.4,64.4,11.4,28.07,65.08,7.06,58.47,blackgram
27.2,21.7,34.5,25.79,50.16,5.67,98.37,mango
30.1,85.0,67.8,18.85,18.98,7.71,88.04,chickpea
25.2,37.8,24.2,25.24,72.41,7.58,24.57,lentil
23.8,80.9,68.8,17.63,16.16,7.74,21.4,chickpea
74.8,44.8,39.0,17.13,53.81,6.22,63.03,garlic
82.5,31.1,35.1,30.72,48.67,6.79,61.86,sorghum
23.1,24.2,37.9,22.63,89.65,6.73,132.72,pomegranate
115.2,47.9,22.1,18.41,80.04,6.39,81.14,cotton
92.7,36.8,31.4,26.68,78.28,6.56,242.14,rice
85.6,33.8,19.7,17.63,70.09,7.67,38.05,maize
98.8,16.1,45.4,10.32,55.43,6.52,64.17,mustard
14.6,38.9,18.1,28.07,69.26,7.55,76.81,lentil
75.8,42.4,53.4,19.5,69.27,7.68,49.78,onion
28.4,62.8,14.8,34.08,59.16,6.36,51.07,mothbeans
17.9,13.0,41.1,20.91,94.79,6.14,70.1,pomegranate
22.0,120.1,205.8,22.84,86.67,5.36,45.22,apple
10.0,3.2,36.6,25.23,90.86,5.76,148.25,coconut
73.8,40.9,51.7,24.77,80.58,6.26,235.02,rice
44.5,34.2,14.6,11.62,51.77,7.06,46.49,barley
74.1,46.6,38.9,16.29,70.66,6.55,55.48,mustard
83.3,55.1,46.2,14.18,71.77,6.89,42.92,mustard
59.7,82.4,28.3,23.1,81.88,7.23,97.07,cotton
38.6,72.4,82.9,11.62,22.12,7.78,51.25,chickpea
15.8,161.4,209.2,23.25,78.96,6.88,63.11,grapes
108.0,46.6,47.9,29.19,82.43,6.38,144.46,sugarcane
26.1,59.6,77.4,16.49,17.44,7.41,109.04,chickpea
107.7,67.0,51.8,26.91,72.24,4.74,117.05,banana
90.9,39.3,46.8,22.98,91.03,5.43,121.0,ginger
36.0,21.0,19.7,27.08,56.77,6.31,109.7,fingermillet
39.1,44.7,85.3,16.54,15.26,7.66,71.87,chickpea
92.1,80.7,42.5,29.91,80.3,5.83,101.33,banana
36.5,90.4,25.7,20.56,20.22,6.31,117.58,kidneybeans
6.3,30.6,24.3,29.66,90.98,6.31,50.7,mungbean
32.6,62.4,19.3,30.74,78.3,7.13,44.0,blackgram
31.7,62.2,20.6,25.73,56.89,7.07,42.64,lentil
67.0,78.6,54.7,36.56,91.94,7.58,145.68,papaya
9.5,20.8,7.1,24.59,96.03,7.47,97.31,orange
109.6,14.7,45.8,28.99,90.67,6.26,23.86,muskmelon
107.4,56.3,47.4,17.41,90.6,6.65,264.93,rice
13.7,55.7,11.7,24.44,70.38,6.89,70.25,lentil
84.7,63.0,66.7,23.28,66.56,6.4,62.58,tomato
43.7,56.9,45.9,17.19,73.21,5.92,39.75,garlic
19.1,63.8,23.2,35.23,54.01,6.82,50.5,mothbeans
15.4,19.8,15.5,20.28,94.27,5.55,193.83,coconut
39.5,79.9,20.2,29.59,74.61,7.83,81.52,blackgram
15.5,55.5,21.8,35.43,53.28,7.21,58.07,mothbeans
120.2,43.2,34.1,25.9,81.04,6.31,100.67,sugarcane
63.7,67.8,65.5,24.88,86.72,5.13,92.92,ginger
21.3,5.4,30.5,27.64,93.45,6.47,160.66,coconut
26.4,39.0,18.4,21.91,65.02,5.93,46.33,groundnut
93.0,57.2,36.2,23.39,87.07,6.5,225.02,rice
77.6,50.7,40.2,24.68,77.93,4.23,127.43,ginger
89.7,40.0,82.2,10.06,70.4,4.94,87.41,potato
64.6,38.4,30.0,27.24,37.35,7.12,44.09,sorghum
