Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
56.0,Loamy,Sugarcane,11,13,15,17-17-17
34.0,Red,Ground Nuts,15,0,37,DAP
41.0,Clayey,Paddy,36,0,0,Urea
49.0,Loamy,Wheat,13,0,9,20-20
64.0,Black,Cotton,24,0,20,28-28
47.0,Sandy,Barley,5,18,15,10-26-26
35.0,Black,Oil seeds,37,0,0,Urea
62.0,Red,Cotton,15,0,40,DAP
57.0,Black,Sugarcane,9,0,13,20-20
55.0,Loamy,Sugarcane,8,8,33,14-35-14
40.0,Clayey,Pulses,6,19,16,10-26-26
38.0,Sandy,Millets,10,0,14,20-20
39.0,Clayey,Pulses,21,0,23,28-28
32.0,Red,Tobacco,39,0,0,Urea
48.0,Loamy,Wheat,23,0,19,28-28
34.0,Black,Oil seeds,42,0,0,Urea
31.0,Red,Ground Nuts,13,0,39,DAP
42.0,Clayey,Paddy,9,10,22,14-35-14
47.0,Sandy,Maize,22,0,21,28-28
59.0,Loamy,Sugarcane,10,0,15,20-20
36.0,Clayey,Pulses,7,16,20,10-26-26
63.0,Red,Cotton,14,0,38,DAP
43.0,Clayey,Paddy,10,8,29,14-35-14
40.0,Sandy,Millets,41,0,0,Urea
65.0,Black,Cotton,14,0,35,DAP
59.0,Loamy,Sugarcane,11,0,9,20-20
44.0,Sandy,Barley,21,0,28,28-28
28.0,Clayey,Pulses,8,7,31,14-35-14
30.0,Red,Tobacco,13,17,16,10-26-26
30.0,Black,Millets,35,0,0,Urea
50.0,Loamy,Wheat,12,18,19,10-26-26
61.0,Loamy,Cotton,11,0,38,DAP
26.0,Black,Oil seeds,8,9,30,14-35-14
45.0,Clayey,Paddy,6,19,21,10-26-26
41.0,Red,Ground Nuts,41,0,0,Urea
25.0,Sandy,Maize,9,10,30,14-35-14
32.0,Clayey,Pulses,24,0,19,28-28
27.0,Red,Tobacco,4,17,17,10-26-26
51.0,Loamy,Wheat,39,0,0,Urea
43.0,Sandy,Millets,15,0,41,DAP
57.0,Black,Sugarcane,12,0,10,20-20
31.27,Loamy,Cotton,20,2,15,DAP
50.14,Black,Millets,9,12,14,28-28
40.35,Black,Wheat,28,0,22,Urea
33.06,Clayey,Millets,8,9,28,17-17-17
46.25,Red,Ground Nuts,40,2,0,28-28
46.33,Clayey,Cotton,11,0,11,28-28
30.65,Sandy,Oil seeds,6,4,14,Urea
58.17,Red,Millets,9,14,11,17-17-17
53.63,Sandy,Ground Nuts,5,8,30,28-28
40.96,Red,Cotton,41,0,3,20-20
43.3,Black,Wheat,40,0,0,10-26-26
65.09,Clayey,Oil seeds,8,1,16,Urea
54.07,Loamy,Cotton,15,0,35,DAP
38.71,Loamy,Paddy,19,4,28,DAP
31.12,Loamy,Barley,11,5,12,10-26-26
52.62,Sandy,Oil seeds,9,22,21,14-35-14
30.5,Black,Oil seeds,11,0,8,17-17-17
23.18,Black,Maize,37,2,4,17-17-17
31.03,Clayey,Sugarcane,12,13,13,14-35-14
69.07,Clayey,Oil seeds,16,3,32,10-26-26
30.51,Black,Paddy,12,0,36,Urea
47.06,Sandy,Tobacco,45,2,0,Urea
47.85,Black,Pulses,7,15,16,DAP
55.51,Loamy,Sugarcane,10,3,31,17-17-17
65.48,Clayey,Cotton,8,13,28,10-26-26
43.77,Loamy,Tobacco,2,20,19,Urea
50.41,Loamy,Sugarcane,11,1,36,DAP
21.12,Sandy,Maize,34,0,3,14-35-14
62.92,Red,Sugarcane,39,0,0,Urea
30.62,Black,Pulses,11,0,32,28-28
46.2,Sandy,Cotton,15,0,8,Urea
59.57,Sandy,Maize,38,4,0,Urea
70.0,Loamy,Sugarcane,14,0,35,17-17-17
27.78,Sandy,Pulses,18,0,25,DAP
43.9,Sandy,Sugarcane,13,16,11,20-20
57.07,Sandy,Pulses,4,0,14,28-28
48.49,Red,Paddy,8,9,18,20-20
54.23,Red,Wheat,15,4,33,14-35-14
20.16,Loamy,Cotton,9,15,16,17-17-17
34.11,Sandy,Cotton,12,8,33,20-20
41.4,Clayey,Paddy,35,0,0,28-28
48.36,Loamy,Tobacco,6,16,17,Urea
56.32,Red,Ground Nuts,41,3,4,28-28
36.89,Loamy,Sugarcane,7,11,20,Urea
54.95,Red,Wheat,7,11,31,14-35-14
35.75,Loamy,Pulses,11,13,15,28-28
51.17,Red,Cotton,23,0,23,10-26-26
33.12,Red,Wheat,40,0,0,10-26-26
50.07,Loamy,Barley,38,0,1,Urea
52.09,Clayey,Wheat,21,3,20,20-20
62.22,Clayey,Ground Nuts,35,4,0,17-17-17
67.37,Sandy,Barley,15,0,33,20-20
67.14,Clayey,Oil seeds,5,7,32,20-20
43.83,Loamy,Wheat,13,0,38,10-26-26
38.51,Red,Maize,36,0,0,28-28
53.31,Clayey,Millets,12,15,15,28-28
34.86,Black,Paddy,20,0,20,28-28
35.35,Black,Oil seeds,23,2,16,17-17-17
41.22,Sandy,Sugarcane,1,14,22,10-26-26
62.63,Clayey,Wheat,31,1,0,14-35-14
52.16,Clayey,Cotton,20,0,21,14-35-14
58.9,Sandy,Oil seeds,7,1,7,DAP
69.68,Sandy,Barley,11,3,14,20-20
42.55,Black,Sugarcane,17,0,31,17-17-17
49.46,Loamy,Maize,19,0,19,20-20
45.07,Loamy,Maize,5,8,32,DAP
40.78,Sandy,Ground Nuts,39,0,2,28-28
22.27,Sandy,Cotton,8,1,43,17-17-17
20.0,Red,Tobacco,13,4,39,10-26-26
34.08,Black,Sugarcane,13,0,8,DAP
20.0,Clayey,Barley,12,6,30,17-17-17
32.86,Clayey,Sugarcane,24,0,17,17-17-17
38.0,Clayey,Pulses,26,0,21,28-28
41.53,Loamy,Ground Nuts,8,13,18,Urea
47.99,Red,Sugarcane,39,2,0,17-17-17
33.66,Loamy,Maize,37,3,0,10-26-26
55.92,Red,Wheat,2,5,25,17-17-17
42.97,Sandy,Pulses,10,17,12,10-26-26
41.92,Black,Oil seeds,3,15,15,Urea
36.14,Loamy,Ground Nuts,10,0,34,20-20
31.58,Black,Paddy,16,3,22,28-28
55.73,Sandy,Tobacco,18,1,38,17-17-17
62.06,Clayey,Maize,11,11,16,28-28
69.67,Sandy,Pulses,12,13,27,20-20
46.87,Sandy,Ground Nuts,10,4,11,28-28
29.12,Loamy,Oil seeds,13,21,14,14-35-14
67.72,Clayey,Ground Nuts,8,13,32,17-17-17
63.83,Black,Oil seeds,36,4,0,14-35-14
39.27,Clayey,Maize,19,0,20,14-35-14
42.28,Red,Millets,41,0,1,17-17-17
31.9,Loamy,Ground Nuts,14,13,8,17-17-17
22.41,Loamy,Wheat,34,1,0,Urea
23.25,Clayey,Ground Nuts,8,1,9,DAP
41.18,Loamy,Millets,19,0,26,DAP
33.13,Black,Maize,38,0,4,14-35-14
26.8,Black,Tobacco,11,2,40,20-20
27.9,Red,Sugarcane,26,2,22,20-20
62.34,Loamy,Millets,6,1,14,DAP
26.27,Black,Ground Nuts,9,3,11,28-28
42.86,Red,Barley,13,0,35,28-28
46.45,Red,Wheat,12,4,13,20-20
43.03,Clayey,Paddy,15,0,16,28-28
42.33,Loamy,Maize,5,10,32,10-26-26
37.76,Black,Maize,8,4,6,28-28
47.97,Black,Ground Nuts,6,14,10,DAP
37.05,Sandy,Oil seeds,6,0,9,Urea
63.79,Loamy,Cotton,5,3,14,10-26-26
32.67,Clayey,Oil seeds,35,0,0,17-17-17
42.93,Clayey,Cotton,44,0,0,Urea
49.1,Clayey,Ground Nuts,10,0,12,28-28
64.66,Black,Cotton,38,0,0,10-26-26
35.6,Red,Oil seeds,19,0,18,28-28
55.92,Sandy,Millets,10,5,31,28-28
25.36,Red,Paddy,15,4,39,14-35-14
65.58,Loamy,Cotton,3,8,34,17-17-17
59.87,Sandy,Barley,12,0,37,14-35-14
54.13,Clayey,Cotton,16,13,16,17-17-17
35.02,Red,Pulses,20,0,23,10-26-26
45.34,Clayey,Oil seeds,9,19,18,10-26-26
40.69,Sandy,Sugarcane,35,0,0,Urea
39.63,Clayey,Ground Nuts,23,0,15,28-28
51.65,Black,Millets,6,0,41,10-26-26
41.7,Red,Paddy,37,0,1,Urea
56.8,Red,Barley,9,0,35,DAP
20.0,Clayey,Oil seeds,9,0,36,10-26-26
47.64,Red,Barley,11,0,14,14-35-14
38.36,Sandy,Wheat,9,4,18,28-28
37.58,Red,Ground Nuts,23,2,22,Urea
24.65,Sandy,Cotton,13,1,42,17-17-17
52.94,Black,Ground Nuts,37,0,0,DAP
46.14,Red,Cotton,21,0,18,20-20
24.39,Loamy,Wheat,13,0,10,20-20
65.38,Black,Sugarcane,39,0,0,DAP
45.27,Black,Millets,24,0,21,14-35-14
50.2,Clayey,Pulses,10,0,9,28-28
20.33,Red,Wheat,8,0,12,Urea
70.0,Sandy,Maize,7,6,34,20-20
46.59,Clayey,Pulses,16,13,13,14-35-14
70.0,Loamy,Pulses,41,2,0,DAP
45.57,Clayey,Millets,19,0,22,14-35-14
32.5,Red,Barley,20,0,19,DAP
64.77,Sandy,Sugarcane,11,0,9,14-35-14
67.73,Clayey,Oil seeds,34,0,4,DAP
25.35,Clayey,Ground Nuts,11,0,35,DAP
46.43,Sandy,Cotton,34,0,2,Urea
34.97,Black,Wheat,17,0,15,Urea
53.09,Black,Pulses,15,11,11,20-20
69.87,Loamy,Paddy,15,0,40,14-35-14
33.6,Black,Oil seeds,21,0,18,DAP
29.64,Red,Barley,17,0,20,17-17-17
42.77,Clayey,Oil seeds,10,12,18,14-35-14
23.84,Loamy,Maize,8,13,12,14-35-14
59.34,Sandy,Maize,11,1,12,20-20
33.57,Black,Barley,18,0,42,17-17-17
34.04,Clayey,Oil seeds,4,0,10,28-28
50.06,Red,Sugarcane,9,4,10,10-26-26
33.44,Black,Pulses,33,0,2,DAP
70.0,Loamy,Pulses,11,2,41,14-35-14
23.31,Loamy,Cotton,43,0,0,17-17-17
32.06,Sandy,Paddy,21,4,24,14-35-14
70.0,Loamy,Ground Nuts,10,1,32,Urea
20.0,Sandy,Oil seeds,14,11,13,28-28
53.16,Sandy,Tobacco,39,1,2,10-26-26
55.71,Sandy,Sugarcane,10,9,18,20-20
39.29,Black,Sugarcane,37,0,1,DAP
29.35,Black,Millets,22,0,26,10-26-26
65.83,Loamy,Pulses,13,4,5,Urea
29.98,Black,Ground Nuts,18,4,23,14-35-14
28.42,Sandy,Tobacco,42,1,4,14-35-14
22.36,Clayey,Ground Nuts,41,0,2,10-26-26
40.49,Loamy,Paddy,17,0,12,10-26-26
28.94,Loamy,Millets,10,0,32,17-17-17
69.92,Sandy,Oil seeds,8,14,31,20-20
31.32,Red,Wheat,38,0,2,20-20
39.2,Black,Wheat,9,0,16,14-35-14
32.64,Clayey,Maize,12,2,31,14-35-14
43.64,Red,Tobacco,18,0,19,10-26-26
28.68,Black,Tobacco,6,0,11,14-35-14
33.05,Black,Tobacco,0,16,19,Urea
59.1,Red,Barley,6,2,13,Urea
47.33,Red,Cotton,3,12,30,Urea
36.28,Red,Barley,15,4,45,20-20
62.13,Black,Pulses,7,0,6,20-20
36.58,Black,Sugarcane,37,0,0,28-28
47.46,Sandy,Paddy,26,0,21,20-20
59.47,Clayey,Paddy,18,0,36,17-17-17
30.62,Black,Cotton,2,20,12,17-17-17
57.23,Clayey,Pulses,38,0,0,DAP
56.12,Loamy,Pulses,16,0,44,20-20
29.32,Black,Barley,16,0,38,14-35-14
49.7,Clayey,Cotton,23,0,23,10-26-26
53.7,Loamy,Millets,3,12,31,10-26-26
48.76,Black,Maize,35,0,2,10-26-26
46.33,Loamy,Paddy,31,3,0,20-20
59.99,Clayey,Cotton,42,0,0,10-26-26
48.82,Red,Cotton,33,3,0,DAP
42.09,Red,Barley,8,22,18,DAP
54.12,Loamy,Maize,5,6,26,28-28
43.31,Red,Paddy,35,3,2,20-20
37.35,Red,Maize,16,0,15,DAP
39.28,Red,Oil seeds,20,0,17,10-26-26
29.79,Loamy,Wheat,10,21,13,17-17-17
46.04,Red,Oil seeds,10,12,9,10-26-26
61.4,Black,Wheat,15,16,10,20-20
34.08,Red,Maize,19,0,21,28-28
30.91,Red,Cotton,35,2,0,DAP
35.4,Black,Tobacco,35,3,0,Urea
23.31,Sandy,Ground Nuts,37,0,0,10-26-26
23.76,Loamy,Barley,18,0,45,10-26-26
47.02,Black,Oil seeds,7,0,5,DAP
57.6,Red,Barley,37,4,0,17-17-17
33.31,Red,Paddy,23,1,25,14-35-14
47.85,Clayey,Paddy,14,9,32,Urea
59.74,Loamy,Maize,12,0,34,10-26-26
61.72,Clayey,Maize,41,0,1,14-35-14
50.41,Black,Cotton,12,10,23,10-26-26
20.0,Black,Ground Nuts,19,15,15,17-17-17
70.0,Black,Barley,40,4,0,Urea
33.4,Sandy,Paddy,9,0,37,Urea
35.25,Loamy,Barley,40,3,0,20-20
35.01,Clayey,Pulses,14,0,12,10-26-26
43.87,Red,Paddy,10,8,27,10-26-26
29.53,Loamy,Sugarcane,7,4,45,10-26-26
35.48,Black,Wheat,42,0,0,10-26-26
22.19,Black,Sugarcane,4,10,26,20-20
21.76,Black,Sugarcane,14,0,11,28-28
49.89,Red,Pulses,25,0,19,14-35-14
36.26,Sandy,Wheat,7,11,34,10-26-26
55.83,Loamy,Pulses,35,1,0,20-20
28.6,Black,Millets,36,3,3,DAP
46.56,Sandy,Ground Nuts,14,2,37,DAP
62.32,Clayey,Ground Nuts,8,9,32,10-26-26
52.38,Loamy,Maize,8,0,38,10-26-26
58.95,Black,Cotton,10,0,43,20-20
55.75,Red,Tobacco,35,0,1,14-35-14
44.94,Black,Pulses,25,4,22,Urea
51.69,Clayey,Barley,3,4,31,14-35-14
68.56,Red,Millets,12,0,39,10-26-26
45.77,Loamy,Tobacco,14,1,36,14-35-14
33.0,Loamy,Oil seeds,4,9,26,10-26-26
35.3,Red,Sugarcane,11,0,36,Urea
28.05,Red,Tobacco,36,0,0,14-35-14
26.32,Black,Wheat,9,4,38,17-17-17
56.12,Black,Barley,38,0,0,DAP
68.62,Black,Pulses,13,0,38,DAP
32.87,Sandy,Wheat,41,3,1,28-28
38.0,Black,Paddy,28,0,27,28-28
37.36,Sandy,Wheat,11,0,9,28-28
55.18,Clayey,Oil seeds,12,0,31,DAP
34.73,Red,Wheat,38,3,0,DAP
27.62,Clayey,Maize,1,17,13,10-26-26
41.47,Black,Millets,3,12,16,20-20
36.72,Loamy,Barley,10,2,42,Urea
54.45,Sandy,Barley,21,0,22,20-20
30.84,Red,Tobacco,21,0,22,17-17-17
30.92,Black,Tobacco,16,0,39,DAP
37.84,Sandy,Cotton,13,4,6,10-26-26
57.02,Sandy,Millets,27,0,20,10-26-26
63.43,Loamy,Millets,5,10,36,DAP
52.37,Sandy,Wheat,5,3,5,DAP
56.9,Black,Paddy,16,4,36,10-26-26
37.59,Loamy,Maize,11,0,42,10-26-26
67.89,Loamy,Tobacco,37,1,2,14-35-14
26.04,Clayey,Wheat,43,2,2,14-35-14
52.95,Clayey,Barley,25,0,22,20-20
63.37,Clayey,Ground Nuts,10,7,26,10-26-26
26.57,Black,Barley,23,2,22,Urea
42.8,Red,Ground Nuts,9,8,32,10-26-26
34.5,Red,Paddy,12,1,44,17-17-17
41.16,Clayey,Paddy,37,0,4,10-26-26
45.85,Black,Pulses,44,0,0,20-20
20.77,Black,Pulses,12,0,42,28-28
55.33,Black,Ground Nuts,12,7,32,28-28
20.0,Black,Pulses,11,14,31,17-17-17
38.71,Red,Wheat,8,20,21,10-26-26
37.05,Sandy,Millets,14,3,36,Urea
44.71,Sandy,Ground Nuts,38,0,4,14-35-14
52.06,Red,Paddy,26,0,25,14-35-14
44.04,Loamy,Wheat,36,0,4,20-20
64.12,Sandy,Paddy,9,14,12,10-26-26
51.81,Clayey,Tobacco,8,0,37,17-17-17
35.02,Clayey,Wheat,10,0,12,DAP
45.29,Clayey,Maize,18,3,17,17-17-17
35.32,Clayey,Sugarcane,11,4,27,DAP
70.0,Clayey,Oil seeds,2,9,32,28-28
51.62,Sandy,Maize,36,0,4,Urea
57.4,Black,Pulses,4,0,15,28-28
56.8,Sandy,Oil seeds,7,3,42,Urea
54.72,Black,Ground Nuts,41,0,4,Urea
26.2,Red,Oil seeds,19,0,33,17-17-17
51.24,Loamy,Ground Nuts,24,0,16,17-17-17
40.0,Red,Paddy,8,0,40,28-28
53.16,Black,Cotton,19,0,15,28-28
38.54,Black,Tobacco,2,16,19,28-28
57.72,Sandy,Cotton,36,0,2,14-35-14
25.67,Loamy,Sugarcane,13,10,26,28-28
65.32,Black,Pulses,5,14,29,Urea
41.48,Black,Barley,9,0,10,Urea
39.18,Clayey,Maize,12,0,34,20-20
41.84,Red,Barley,18,0,29,17-17-17
24.17,Sandy,Barley,10,0,17,14-35-14
41.1,Clayey,Oil seeds,14,2,38,20-20
45.85,Loamy,Cotton,1,14,17,Urea
43.74,Sandy,Pulses,10,0,40,17-17-17
39.26,Loamy,Maize,23,0,26,10-26-26
42.56,Clayey,Sugarcane,15,0,41,14-35-14
20.0,Loamy,Millets,12,0,37,10-26-26
36.95,Clayey,Barley,34,2,1,17-17-17
38.43,Red,Cotton,41,0,4,20-20
51.4,Red,Maize,4,9,28,28-28
40.32,Clayey,Paddy,24,0,17,14-35-14
33.26,Sandy,Sugarcane,5,10,31,14-35-14
21.43,Loamy,Paddy,39,1,4,28-28
48.83,Black,Cotton,21,2,23,10-26-26
58.64,Clayey,Pulses,40,0,0,14-35-14
57.75,Clayey,Millets,34,4,0,DAP
69.2,Loamy,Sugarcane,7,14,16,20-20
50.97,Red,Oil seeds,9,11,8,DAP
48.6,Black,Wheat,9,3,13,20-20
68.08,Clayey,Tobacco,13,10,30,14-35-14
52.3,Loamy,Sugarcane,6,4,40,Urea
43.91,Black,Oil seeds,18,4,27,20-20
44.74,Sandy,Wheat,44,0,0,20-20
43.88,Loamy,Barley,18,0,33,DAP
63.49,Red,Maize,15,1,7,14-35-14
37.18,Red,Maize,12,1,40,20-20
33.05,Red,Ground Nuts,17,0,40,DAP
52.23,Sandy,Ground Nuts,18,0,42,10-26-26
27.43,Sandy,Pulses,39,1,0,28-28
38.94,Clayey,Millets,11,0,42,17-17-17
61.27,Sandy,Oil seeds,8,0,19,Urea
34.24,Black,Wheat,2,19,12,10-26-26
48.66,Clayey,Sugarcane,36,0,3,17-17-17
51.07,Red,Millets,36,0,0,28-28
45.65,Clayey,Millets,12,3,30,20-20
48.45,Black,Maize,40,0,2,DAP
45.45,Black,Maize,9,17,16,14-35-14
46.97,Red,Millets,19,0,18,28-28
66.01,Loamy,Oil seeds,18,0,39,17-17-17
38.91,Black,Tobacco,36,0,3,20-20
24.59,Sandy,Barley,9,9,32,17-17-17
35.47,Loamy,Pulses,14,0,34,Urea
32.12,Clayey,Barley,6,12,13,10-26-26
31.86,Loamy,Sugarcane,38,0,0,28-28
45.02,Red,Wheat,8,0,38,20-20
51.07,Sandy,Sugarcane,26,0,17,10-26-26
43.81,Clayey,Millets,37,0,4,17-17-17
30.81,Black,Cotton,17,3,41,28-28
40.11,Red,Tobacco,20,0,22,Urea
65.56,Sandy,Wheat,9,4,12,28-28
65.99,Black,Wheat,9,8,32,DAP
29.27,Red,Wheat,20,2,20,28-28
38.34,Loamy,Oil seeds,40,0,2,Urea
44.88,Loamy,Wheat,34,2,3,Urea
59.14,Loamy,Paddy,40,0,0,DAP
41.14,Sandy,Tobacco,28,3,16,10-26-26
20.0,Red,Paddy,0,13,16,10-26-26
57.55,Clayey,Maize,7,8,27,14-35-14
52.56,Sandy,Maize,22,0,24,14-35-14
39.74,Sandy,Millets,7,8,30,10-26-26
29.35,Clayey,Wheat,10,4,42,Urea
33.56,Black,Pulses,13,0,12,17-17-17
24.01,Black,Maize,11,0,38,Urea
36.65,Black,Oil seeds,7,8,28,10-26-26
33.96,Red,Millets,16,1,16,20-20
24.93,Red,Ground Nuts,21,2,19,Urea
64.41,Black,Paddy,5,5,32,17-17-17
49.43,Sandy,Wheat,40,0,4,28-28
35.47,Clayey,Millets,22,4,26,20-20
38.61,Red,Wheat,16,1,5,17-17-17
36.8,Clayey,Paddy,10,0,35,20-20
51.52,Black,Wheat,4,9,24,17-17-17
35.72,Red,Tobacco,14,3,37,14-35-14
29.13,Loamy,Oil seeds,12,0,17,20-20
43.0,Sandy,Barley,28,0,14,10-26-26
46.15,Sandy,Wheat,25,0,19,DAP
35.94,Red,Ground Nuts,39,3,0,14-35-14
25.16,Red,Pulses,35,0,2,17-17-17
28.57,Clayey,Barley,19,0,40,10-26-26
56.64,Red,Sugarcane,11,0,4,10-26-26
41.14,Loamy,Tobacco,42,0,0,14-35-14
37.85,Loamy,Sugarcane,7,0,37,14-35-14
60.57,Clayey,Ground Nuts,8,0,40,28-28
37.49,Black,Cotton,33,3,0,14-35-14
51.37,Clayey,Paddy,17,0,21,14-35-14
58.59,Red,Wheat,8,2,9,20-20
67.45,Black,Pulses,14,12,11,20-20
63.69,Red,Tobacco,11,4,37,14-35-14
70.0,Clayey,Sugarcane,4,11,26,28-28
42.29,Loamy,Sugarcane,26,0,18,17-17-17
28.49,Sandy,Barley,44,0,2,14-35-14
28.38,Black,Ground Nuts,36,0,0,10-26-26
60.02,Red,Maize,12,0,31,17-17-17
43.11,Red,Paddy,10,15,20,DAP
46.26,Black,Maize,9,18,17,28-28
63.48,Red,Ground Nuts,8,0,39,Urea
45.66,Red,Paddy,18,0,11,10-26-26
50.3,Black,Millets,16,0,7,17-17-17
45.0,Loamy,Ground Nuts,13,3,41,10-26-26
46.85,Red,Cotton,24,0,29,17-17-17
55.82,Loamy,Pulses,37,4,0,14-35-14
38.39,Black,Ground Nuts,26,3,22,DAP
25.01,Loamy,Sugarcane,14,0,35,DAP
31.72,Sandy,Paddy,12,0,41,DAP
37.56,Black,Millets,21,4,21,14-35-14
70.0,Sandy,Wheat,3,6,26,14-35-14
45.96,Sandy,Maize,3,18,20,Urea
40.55,Loamy,Maize,16,2,44,DAP
50.52,Sandy,Wheat,18,0,24,28-28
54.46,Red,Maize,13,0,13,Urea
33.41,Red,Millets,35,2,0,Urea
69.48,Sandy,Millets,12,0,39,28-28
40.12,Loamy,Pulses,17,0,21,Urea
42.81,Red,Paddy,46,4,4,17-17-17
45.71,Black,Sugarcane,7,4,31,14-35-14
48.4,Loamy,Cotton,9,20,18,28-28
40.77,Loamy,Millets,13,2,37,Urea
30.3,Loamy,Pulses,8,3,30,28-28
27.58,Black,Paddy,9,0,17,Urea
31.93,Red,Millets,36,3,3,20-20
42.03,Sandy,Sugarcane,9,12,32,28-28
58.99,Black,Sugarcane,19,1,39,14-35-14
36.61,Red,Barley,10,0,14,17-17-17
29.85,Clayey,Pulses,33,0,0,17-17-17
44.08,Black,Pulses,11,0,16,10-26-26
62.52,Black,Tobacco,5,11,33,28-28
44.07,Black,Tobacco,39,4,0,10-26-26
62.34,Clayey,Ground Nuts,11,0,19,Urea
45.46,Red,Pulses,23,1,21,DAP
46.21,Loamy,Cotton,26,4,25,20-20
54.63,Red,Millets,14,2,9,Urea
24.8,Loamy,Tobacco,34,0,0,17-17-17
34.03,Sandy,Wheat,18,2,40,14-35-14
69.81,Loamy,Barley,4,4,29,Urea
50.56,Clayey,Wheat,7,20,19,14-35-14
45.37,Clayey,Oil seeds,34,4,0,DAP
41.83,Sandy,Wheat,12,4,39,14-35-14
46.08,Red,Millets,8,5,27,28-28
27.47,Black,Oil seeds,19,0,25,10-26-26
48.08,Clayey,Paddy,11,14,22,10-26-26
28.7,Clayey,Wheat,16,2,40,17-17-17
56.3,Sandy,Barley,39,1,1,20-20
42.75,Clayey,Paddy,39,0,0,14-35-14
66.29,Sandy,Maize,8,2,17,20-20
33.64,Red,Ground Nuts,24,0,17,10-26-26
48.59,Sandy,Ground Nuts,25,0,19,17-17-17
21.3,Black,Maize,13,17,13,Urea
33.37,Red,Oil seeds,12,0,44,20-20
48.02,Black,Cotton,18,2,19,17-17-17
21.74,Clayey,Oil seeds,14,15,14,Urea
54.66,Clayey,Sugarcane,12,1,37,10-26-26
50.17,Loamy,Tobacco,11,1,39,20-20
70.0,Red,Tobacco,13,3,8,Urea
45.5,Sandy,Ground Nuts,36,0,3,20-20
28.32,Loamy,Tobacco,16,0,33,Urea
30.97,Black,Cotton,8,2,11,Urea
23.01,Clayey,Pulses,8,2,27,Urea
39.17,Loamy,Millets,41,0,0,17-17-17
29.86,Sandy,Paddy,7,8,27,20-20
50.44,Red,Pulses,24,4,19,Urea
29.01,Loamy,Ground Nuts,7,0,41,14-35-14
42.58,Clayey,Ground Nuts,35,0,0,Urea
31.18,Loamy,Millets,12,4,36,17-17-17
27.28,Red,Oil seeds,45,1,0,28-28
55.93,Loamy,Millets,11,10,27,Urea
46.74,Loamy,Maize,9,7,27,14-35-14
39.61,Sandy,Cotton,6,11,31,14-35-14
28.91,Clayey,Tobacco,41,3,0,17-17-17
40.31,Sandy,Ground Nuts,26,0,14,14-35-14
